BHR5328TY;Appliances > Cleaning appliances > Accessories;R 161;R 229;;;Xiaomi Mi Robot Vacuum Mop Pad – Mop|Mop 2|Mop 2C|Mop 2 Pro+;Xiaomi;Product URL;6 Months;;;39;https://www.syntech.co.za/product/xiaomi-vacmop-1c2-pro2-ultra-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR5326TY;Appliances > Cleaning appliances > Accessories;R 161;R 229;;;Xiaomi Mi Robot Vacuum Mop Filter - Mop|2|2C|2 Pro+|2 Ultra|X10|X10+|S10+|S20+|X20+|S40C|H40|S40;Xiaomi;Product URL;6 Months;;;40;https://www.syntech.co.za/product/xiaomi-vacmop-1c2-pro2-ultra-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR4249TY;Appliances > Cleaning appliances > Accessories;R 20;R 179;;;Xiaomi Robot Vacuum Mop Essential Mainbrush Cover;Xiaomi;Product URL;6 Months;;;41;https://www.syntech.co.za/product/xiaomi-mi-vacuummop-essent-mbrush-cover/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR4251TY;Appliances > Cleaning appliances > Accessories;R 20;R 349;;;Xiaomi Robot Vacuum Mop Essential Disposable Mopping Cloth;Xiaomi;Product URL;6 Months;;;42;https://www.syntech.co.za/product/xiaomi-mi-vacuummop-essent-disp-mop-clo/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
SKV4114TY;Appliances > Cleaning appliances > Accessories;R 20;R 349;;;Xiaomi Robot Vacuum Mop Pro Disposable Mop Pad - 30 Pack;Xiaomi;Product URL;6 Months;;;43;https://www.syntech.co.za/product/mi-robot-vacuum-mop-p-disposable-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
SKV4121TY;Appliances > Cleaning appliances > Accessories;R 20;R 169;;;Xiaomi Mi Robot Vacuum Mop Brush Cover - Mop Pro - Black;Xiaomi;Product URL;6 Months;;;44;https://www.syntech.co.za/product/xiaomi-mi-robot-vacuum-mop-pro-brush-cover-black/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
SKV4122TY;Appliances > Cleaning appliances > Accessories;R 20;R 169;;;Xiaomi Mi Robot Vacuum Mop Brush Cover - Mop Pro|Mop 2S;Xiaomi;Product URL;6 Months;;;45;https://www.syntech.co.za/product/xiaomi-mi-robot-vacuum-mop-pro-brush-cover-white/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
SKV4123TY;Appliances > Cleaning appliances > Accessories;R 20;R 229;;;Xiaomi Mi Robt Vacuum Mop pad - Mop Pro|Mop 2S;Xiaomi;Product URL;6 Months;;;46;https://www.syntech.co.za/product/xiaomi-mi-robot-vacuum-mop-pro-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
SKV4124TY;Appliances > Cleaning appliances > Accessories;R 20;R 479;;;Xiaomi Mi Robot Vacuum Water Tank - Mop Pro;Xiaomi;Product URL;6 Months;;;47;https://www.syntech.co.za/product/mi-robot-vacuum-mop-p-water-tank/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
SKV4130TY;Appliances > Cleaning appliances > Accessories;R 20;R 169;;;Xiaomi Robot Vacuum Mop Brush Cover;Xiaomi;Product URL;6 Months;;;48;https://www.syntech.co.za/product/xiaomi-mi-robot-vacuum-brush-cover/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
SKV4132TY;Appliances > Cleaning appliances > Accessories;R 20;R 349;;;Xiaomi Robot Vacuum Mop Disposable Mop Pad;Xiaomi;Product URL;6 Months;;;49;https://www.syntech.co.za/product/xiaomi-mi-vacuummop-disposable-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR7962GL;Appliances > Cleaning appliances > Accessories;R 61;R 89;;;Xiaomi Robot Vacuum E5 Filter;Xiaomi;Product URL;6 Months;;;50;https://www.syntech.co.za/product/xiaomi-robotvac-e5-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR7961GL;Appliances > Cleaning appliances > Accessories;R 79;R 109;;;Xiaomi Robot Vacuum E5 Side Brush;Xiaomi;Product URL;6 Months;;;51;https://www.syntech.co.za/product/xiaomi-robotvac-e5-side-brush/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR8819GL;Appliances > Cleaning appliances > Accessories;R 85;R 119;;;Xiaomi Robot Vacuum S20 Mop Pad;Xiaomi;Product URL;6 Months;;;52;https://www.syntech.co.za/product/xiaomi-robot-vacuum-s20-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6473GL;Appliances > Cleaning appliances > Accessories;R 91;R 129;;;Xiaomi Robot Vacuum Mop Side Brush - S10|E10|S12|E12|X20|S20;Xiaomi;Product URL;6 Months;;;53;https://www.syntech.co.za/product/xiaomi-robotvac-s10-side-brush/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR7963GL;Appliances > Cleaning appliances > Accessories;R 103;R 149;;;Xiaomi Robot Vacuum E5 Mop Pad;Xiaomi;Product URL;6 Months;;;54;https://www.syntech.co.za/product/xiaomi-robot-vacuum-e5-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR4246TY;Appliances > Cleaning appliances > Accessories;R 103;R 149;;;Xiaomi Robot Vacuum Mop Essential Side Brush;Xiaomi;Product URL;6 Months;;;55;https://www.syntech.co.za/product/xiaomi-mi-vacuummop-essent-side-brush/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR08TVGL;Appliances > Cleaning appliances > Accessories;R 106;R 149;;;Xiaomi Robot Vacuum S40/H40/5/5pro Side Brush;Xiaomi;;6 Months;;;56;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR5324TY;Appliances > Cleaning appliances > Accessories;R 116;R 169;;;Xiaomi Robot Vacuum Mop Side Brush - Mop|Mop 2|Mop 2C|Mop 2 Pro+|Mop 2 Ultra|X10;Xiaomi;Product URL;6 Months;;;57;https://www.syntech.co.za/product/xiaomi-robot-vacuum-mop-2-pro-2-ultra-side-brush/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6461GL;Appliances > Cleaning appliances > Accessories;R 119;R 169;;;Xiaomi Robot Vacuum Brush Cover - S10|S12;Xiaomi;Product URL;6 Months;;;58;https://www.syntech.co.za/product/xiaomi-robotvac-s10-brush-cover/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6915GL;Appliances > Cleaning appliances > Accessories;R 119;R 169;;;Xiaomi Robot Vacuum Cover - E10|E12;Xiaomi;Product URL;6 Months;;;59;https://www.syntech.co.za/product/xiaomi-robotvac-e10-brush-cover/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6687GL;Appliances > Cleaning appliances > Accessories;R 128;R 179;;;Xiaomi Mi Robot Vacuum Side Brush - X10+|S10+|X10|X20+|S20+|X20 Pro|X20 Max|S40C|H40;Xiaomi;Product URL;6 Months;;;60;https://www.syntech.co.za/product/xiaomi-robotvac-x10-s10-x10-side-brush/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6945GL;Appliances > Cleaning appliances > Accessories;R 134;R 189;;;Xiaomi Robot Vacuum E10 Filter;Xiaomi;Product URL;6 Months;;;61;https://www.syntech.co.za/product/xiaomi-robotvac-e10-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6916GL;Appliances > Cleaning appliances > Accessories;R 137;R 199;;;Xiaomi Robot Vacuum Brush - E10|E12|E10C|S20;Xiaomi;Product URL;6 Months;;;62;https://www.syntech.co.za/product/xiaomi-robotvac-e10-brush/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR083YGL;Appliances > Cleaning appliances > Accessories;R 137;R 199;;;Xiaomi Robot Vacuum S40C/H40 Mop Pad;Xiaomi;;6 Months;;;63;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR08LRGL;Appliances > Cleaning appliances > Accessories;R 137;R 199;;;Xiaomi Robot Vacuum H50 Pro/H50/S40 Pro Brush;Xiaomi;;6 Months;;;64;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR6914GL;Appliances > Cleaning appliances > Accessories;R 137;R 199;;;Xiaomi Robot Vacuum E10 Mop Pad;Xiaomi;Product URL;6 Months;;;65;https://www.syntech.co.za/product/xiaomi-robotvac-e10-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
